Sample ID,Mean 01,Mean 02,Mean 03,Mean 04,Mean 05,Mean 06,Mean 07,Mean 08,Mean 09,Mean 10,Mean 11,Mean 12,Mean 13,Mean 14,Mean 15,Mean 16,Mean 17,Mean 18,StdDev 01,StdDev 02,StdDev 03,StdDev 04,StdDev 05,StdDev 06,StdDev 07,StdDev 08,StdDev 09,StdDev 10,StdDev 11,StdDev 12,StdDev 13,StdDev 14,StdDev 15,StdDev 16,StdDev 17,StdDev 18
0C_288h_i_b3_f,15.45999,20.12325,23.1734,26.7853,29.09021,28.38319,28.43236,33.92722,47.87031,51.60369,53.13,57.13251,53.19629,51.78048,49.61878,43.60331,41.46947,33.09423,4.420851,5.134148,5.313683,5.643031,5.961698,5.985158,6.035182,6.511294,7.388012,7.495336,7.592698,7.54178,7.33356,7.207587,7.058677,5.938122,5.808402,4.774465
0C_288h_j_b3_f,16.41925,20.09922,23.50698,27.91128,29.72254,28.40008,26.08768,32.71925,47.71427,51.32958,52.494,54.83672,52.01114,50.78619,48.86929,43.38607,41.3328,33.40549,4.504014,4.773605,4.839123,5.029891,5.130471,5.057632,4.805634,5.428638,6.452709,6.581806,6.698927,6.811469,6.937473,6.873206,6.780358,5.805533,5.670377,4.766623
0C_288h_k_b3_f,14.54529,18.09294,21.18538,25.13403,26.97507,25.89455,24.24237,30.09883,44.55833,48.99245,50.48606,53.94902,50.62396,49.27895,47.18288,41.50026,39.35433,31.25262,4.070918,4.348711,4.429232,4.629164,4.705215,4.672271,4.40441,4.932395,5.785146,5.821402,5.939434,6.145471,6.118922,6.008964,5.900081,4.915854,4.773063,3.92951
0C_48h_a_b3_f,14.24591,18.61523,21.77806,25.64896,27.47846,26.63899,26.36245,32.85336,43.93718,47.63946,49.34651,55.11082,51.20253,49.51913,46.84656,40.69094,38.59108,30.3664,3.448267,3.818989,3.94641,4.260698,4.434815,4.448175,4.556941,4.873885,5.576836,5.705677,5.774698,5.929323,6.088764,5.968951,5.761178,4.690063,4.589938,3.735399
0C_48h_b_b3_f,14.83759,18.73721,22.33938,27.05509,28.82004,27.68866,26.67333,32.63509,46.31784,49.7926,51.13347,55.34253,51.83013,50.18109,47.54193,41.33218,39.20235,30.74869,3.602305,3.783985,3.702784,3.774029,4.079409,4.160904,4.26206,4.677514,4.504224,4.340758,4.286777,4.057758,4.226986,4.205715,4.213423,3.782905,3.814564,3.641427
0C_48h_c_b3_f,14.56481,18.30223,22.26,27.60838,30.00183,28.84949,27.61107,33.83993,48.40912,52.00784,53.36955,57.48373,53.91064,52.18578,49.41275,42.73039,40.51189,31.67208,3.860466,4.287019,4.40506,4.634079,4.673481,4.685052,4.569379,4.951753,4.872884,4.87895,4.902874,4.905124,5.197222,5.175557,5.086152,4.354139,4.333441,3.927884
10C_0h_a_b3_f,14.8635,19.25493,22.845,27.4749,30.10194,29.08487,27.86428,35.23809,47.2541,50.44471,51.83004,56.00736,51.87672,50.25156,47.76866,41.79899,39.71161,31.56025,3.510279,3.782357,3.899077,4.478643,4.886031,4.928373,5.192817,5.204847,5.912601,5.941649,5.931232,5.894947,5.779228,5.662749,5.47049,4.467855,4.362568,3.631184
10C_0h_b_b3_f,15.26189,21.9912,23.4717,27.29815,28.80096,27.70835,25.87026,33.39387,46.12356,49.49936,50.96544,55.47184,51.54532,49.89656,47.36084,41.41445,39.38022,31.34475,4.263535,5.336902,5.035648,5.085832,4.766979,4.721955,4.509295,4.333556,5.128599,5.178066,5.195112,5.224863,5.548299,5.484057,5.363007,4.527307,4.489047,3.907973
10C_0h_c_b3_f,14.27961,18.47458,21.56509,25.31683,27.07817,26.20037,25.9736,32.31952,45.33686,49.38138,51.12431,56.89303,54.16196,52.56804,50.04212,43.62617,41.46219,32.79935,4.303755,4.300311,4.269457,4.289527,4.414261,4.460298,4.355962,4.702909,4.313979,4.1957,4.166337,4.219016,4.512326,4.466954,4.38171,3.716207,3.688062,3.306744
10C_0h_d_b3_f,15.15757,18.88129,22.11529,26.33795,27.50666,26.30881,25.32234,30.96883,45.98408,50.02101,51.57904,56.41087,53.43001,51.79564,49.14663,42.60227,40.41139,31.68694,4.207319,4.495324,4.530711,4.519077,4.63661,4.674352,4.671741,4.904319,4.596264,4.493142,4.437051,4.325162,4.487528,4.456814,4.332713,3.655096,3.639087,3.280221
