Sample ID,Mean 01,Mean 02,Mean 03,Mean 04,Mean 05,Mean 06,Mean 07,Mean 08,Mean 09,Mean 10,Mean 11,Mean 12,Mean 13,Mean 14,Mean 15,Mean 16,Mean 17,Mean 18,StdDev 01,StdDev 02,StdDev 03,StdDev 04,StdDev 05,StdDev 06,StdDev 07,StdDev 08,StdDev 09,StdDev 10,StdDev 11,StdDev 12,StdDev 13,StdDev 14,StdDev 15,StdDev 16,StdDev 17,StdDev 18
B_b_1,15.29502,19.72107,24.94172,32.45796,35.85498,34.52417,33.58847,40.8448,53.53668,55.82689,56.7575,58.71169,54.36501,52.79539,50.54032,44.06864,41.85,32.98001,2.402625,3.148458,3.483727,3.817754,3.992558,3.985718,3.828433,4.059886,3.974689,3.964748,4.013413,4.090659,3.961798,3.921612,3.929735,3.495921,3.483682,3.244638
B_c_1,15.60072,20.11194,25.34517,32.84348,36.25238,34.91892,33.9525,41.18364,53.88414,56.16708,57.08702,59.0201,54.67823,53.10464,50.84374,44.32327,42.09445,33.17802,2.619778,3.395433,3.692775,3.948352,4.087472,4.092146,3.944818,4.169044,4.050894,4.07154,4.132666,4.238251,4.099661,4.050481,4.032472,3.529377,3.497555,3.185374
B_d_1,15.37836,19.78708,25.03174,32.5532,36.00177,34.69456,33.77981,40.96851,53.5533,55.8162,56.74173,58.66751,54.35816,52.8027,50.5655,44.12548,41.91504,33.07683,2.51453,3.327714,3.703825,4.083628,4.247188,4.223686,4.031957,4.293454,4.238718,4.241289,4.295844,4.37958,4.184491,4.130081,4.11434,3.602383,3.567555,3.245911
B_e_1,15.32396,19.72029,24.93527,32.45896,35.88117,34.55497,33.66264,40.92521,53.60151,55.85347,56.76785,58.63437,54.35258,52.80651,50.59137,44.1977,41.99832,33.20875,2.175851,2.903325,3.193123,3.49862,3.700155,3.709453,3.627971,3.804211,3.692854,3.699326,3.753722,3.839542,3.762232,3.724737,3.741825,3.344846,3.339981,3.124238
A _a_1,9.53985,13.58411,17.47648,23.10303,26.41924,25.01168,21.79112,31.73006,47.12008,51.02794,53.0779,60.59985,58.86514,57.41315,55.30666,49.11418,47.23674,39.186,1.394142,2.15694,2.655234,3.169441,3.470007,3.38635,3.029553,3.780263,3.907048,3.85542,3.88516,4.047459,3.970656,3.924069,3.881692,3.450698,3.424798,3.198925
A_b_1,9.692318,13.9152,17.82091,23.34178,26.63675,25.27384,22.11809,32.10627,47.04778,50.89545,52.98813,60.7281,58.79322,57.32564,55.21323,49.08616,47.2306,39.27568,1.547428,2.444476,2.99211,3.539343,3.871672,3.778714,3.374588,4.197337,4.274514,4.176713,4.186678,4.244213,4.087454,4.048426,4.021981,3.62042,3.6102,3.404399
A_ c_1,9.742465,13.99065,17.9575,23.58323,26.95461,25.57156,22.34023,32.4825,47.39021,51.20101,53.28587,61.31791,58.8359,57.35546,55.23225,49.07734,47.22689,39.27713,1.542128,2.475241,3.042149,3.623133,3.963135,3.868183,3.473139,4.305369,4.476802,4.403914,4.419141,4.508019,4.297342,4.256578,4.224918,3.794559,3.787217,3.585871
A _d_1,9.556592,13.77454,17.67905,23.19893,26.52161,25.16881,22.02195,32.09514,46.93464,50.78367,52.92862,60.92299,58.76107,57.27942,55.15693,49.01011,47.15469,39.17488,1.535443,2.477262,3.063387,3.693043,4.064886,3.95862,3.543205,4.478817,4.782736,4.711166,4.733702,4.732697,4.487533,4.457033,4.45114,4.064268,4.058293,3.846679
A_ e_1,9.754842,14.03614,17.97099,23.49146,26.86318,25.51803,22.34752,32.53677,47.24007,51.03704,53.15722,61.09649,58.81015,57.3367,55.22551,49.12667,47.29711,39.42183,1.562631,2.531173,3.112754,3.693909,4.057181,3.957849,3.529143,4.466186,4.616022,4.50335,4.501514,4.456087,4.204648,4.166683,4.150027,3.761096,3.75981,3.585805
A-90%B_a_2,12.06263,16.81258,20.66923,25.63198,29.96797,29.36466,28.01978,38.27114,50.16161,52.43742,53.59924,56.55022,52.15788,50.57253,48.40022,42.54089,40.526,32.30355,1.691332,2.411053,2.73625,3.032048,3.352467,3.381291,3.350718,3.707333,3.58709,3.567161,3.616198,3.700981,3.461362,3.433569,3.4335,3.108246,3.092417,2.936171
A-90%B_b_2,12.37358,17.09649,20.98685,26.0364,30.2224,29.52691,28.00821,37.9646,50.15824,52.42604,53.5651,56.3839,52.13583,50.54214,48.35364,42.48278,40.45586,32.21144,1.686242,2.316256,2.629249,2.928488,3.233745,3.242135,3.17746,3.660565,3.698835,3.708673,3.770869,3.893362,3.647038,3.606079,3.585396,3.204773,3.165919,2.919724
A-90%B_c_2,12.02138,16.68563,20.64373,25.87022,30.00496,29.27167,27.72342,37.48343,49.91304,52.20989,53.34296,56.18902,52.05048,50.48737,48.33502,42.43997,40.39206,32.10802,1.965902,2.817661,3.191829,3.487549,3.797508,3.835635,3.772788,4.209748,3.963048,3.908741,3.954058,3.993937,3.630317,3.60385,3.612637,3.299072,3.282691,3.098558
A-90%B_d_2,11.96815,16.64891,20.66249,25.95577,30.13408,29.40356,27.9646,37.65289,49.9181,52.19513,53.31876,56.13423,51.96398,50.4025,48.26282,42.35485,40.3009,32.00042,1.831823,2.664106,3.032309,3.340718,3.67768,3.701439,3.658337,4.167714,4.119389,4.091349,4.135963,4.171195,3.838759,3.801378,3.801239,3.422824,3.390544,3.141763
A-90%B_e_2,11.70051,16.3463,20.26609,25.40458,29.65537,28.98456,27.58798,37.35538,48.90041,50.97816,52.00595,54.49546,50.3201,48.83763,46.81603,41.37188,39.43966,31.6439,1.73331,2.442939,2.791109,3.104198,3.446254,3.470632,3.397662,3.929162,3.982394,3.984653,4.048925,4.172882,3.846615,3.797114,3.778844,3.406846,3.380592,3.134949
25%A-75%B_a_2,9.62927,13.26799,16.88813,22.13714,25.63862,24.47439,21.76315,31.57825,46.50276,49.48,50.79827,54.81928,51.72516,50.21313,48.05223,42.33439,40.39491,32.4202,1.41199,2.117076,2.52426,2.917614,3.329204,3.331586,3.191859,3.974074,4.176221,4.205915,4.292408,4.517687,4.379686,4.296174,4.265793,3.852746,3.811038,3.527587
25%A-75%B_b_2,10.14542,14.06245,17.683,22.7163,26.28839,25.20587,22.53587,32.67537,47.03779,49.93177,51.27016,55.34725,51.86011,50.32525,48.15244,42.46479,40.54409,32.60942,1.467551,2.181549,2.583147,2.979125,3.403279,3.408559,3.264738,4.080208,4.167673,4.113976,4.158101,4.195724,4.021014,3.95999,3.978061,3.691731,3.672643,3.493338
25%A-75%B_c_2,10.12908,13.84126,17.54024,22.91785,26.24005,25.01193,22.16158,31.70739,46.80649,49.79576,51.09053,55.08927,52.06244,50.55177,48.37498,42.53581,40.56442,32.4618,1.538511,2.238792,2.614079,2.942856,3.244519,3.239539,3.099785,3.695941,3.770831,3.793981,3.868864,4.062116,3.962724,3.886682,3.831712,3.361464,3.303069,2.993749
25%A-75%B_d_2,9.984506,13.74703,17.50293,22.95547,26.34735,25.13722,22.36878,31.91796,46.79852,49.72539,50.99973,54.86318,51.78461,50.28537,48.14452,42.37337,40.40865,32.37601,1.540576,2.346945,2.777984,3.173337,3.568966,3.576147,3.425209,4.152934,4.078862,4.025504,4.077409,4.17687,4.045711,3.983424,3.990166,3.671361,3.655197,3.493545
25%A-75%B_e_2,9.761293,13.49065,17.20993,22.61256,26.03399,24.82347,22.04451,31.70284,46.65526,49.64428,50.95628,54.99577,51.90769,50.39796,48.2479,42.44111,40.46971,32.39734,1.565646,2.348886,2.796424,3.224164,3.577238,3.547347,3.327262,4.059714,4.217411,4.216633,4.278217,4.421257,4.255992,4.183891,4.16778,3.77857,3.751632,3.521646
40%A-60%B_a_2,9.377419,12.59354,15.98878,21.02658,24.03747,22.80271,19.84354,29.1793,44.04633,47.44034,49.12484,54.82066,52.16037,50.65282,48.52811,42.83469,40.93527,33.12609,1.460775,2.219439,2.674371,3.120748,3.491066,3.464429,3.242166,3.991695,4.080199,4.02473,4.057121,4.129228,3.907007,3.881351,3.879123,3.528275,3.518671,3.320708
40%A-60%B_b_2,9.259297,12.31171,15.60463,20.55281,23.47267,22.22017,19.24066,28.46182,43.4569,46.8966,48.59137,54.38326,51.95382,50.43621,48.29638,42.6258,40.74508,32.98274,1.336537,1.992193,2.411388,2.847062,3.250853,3.214905,2.954411,3.852721,4.115263,4.078501,4.119164,4.228388,4.043454,4.001075,3.991742,3.622726,3.606241,3.395597
40%A-60%B_c_2,9.319374,12.47319,15.8629,20.95288,23.87641,22.62383,19.6738,28.76172,43.6605,47.06041,48.7178,54.39043,51.94783,50.43404,48.30138,42.58193,40.67003,32.83065,1.391726,2.160299,2.597485,2.975316,3.348438,3.342598,3.126449,3.853061,3.677734,3.556292,3.56149,3.567105,3.434717,3.420764,3.438379,3.165311,3.175118,3.094179
40%A-60%B_d_2,9.165917,12.29213,15.69734,20.82161,23.82241,22.56563,19.57683,28.88103,43.90577,47.27748,48.91159,54.46209,51.90429,50.40709,48.28458,42.58517,40.66871,32.82186,1.313378,2.012417,2.450097,2.910212,3.296523,3.255393,2.995297,3.87329,4.117687,4.069956,4.115856,4.206544,3.972395,3.927241,3.912692,3.544334,3.525729,3.333223
40%A-60%B_e_2,9.110261,12.19604,15.53979,20.56189,23.56007,22.3255,19.41225,28.65311,43.52724,46.91388,48.57029,54.19317,51.6492,50.14417,48.02549,42.37532,40.47233,32.68439,1.398749,2.125861,2.565377,2.997953,3.399845,3.374732,3.149517,4.030615,4.284359,4.249815,4.292326,4.396786,4.118018,4.070191,4.050443,3.650389,3.620124,3.350659
